Inference for Stan model: process_sdm_based_on_20221003.
3 chains, each with iter=4000; warmup=2000; thin=10; 
post-warmup draws per chain=200, total post-warmup draws=600.

mean      se_mean           sd          2.5%           25%
theta_d                      5.000000e-01  5.700000e-01  6.800000e-01   601 1.01
h                            4.900000e-01  7.300000e-01  9.700000e-01   608 1.00
log_r0                      -1.477628e+11 -2.021599e+10 -1.625071e+09     7 1.48
T_adjust[1,1]                8.800000e-01  9.700000e-01  1.000000e+00   558 1.00
T_adjust[1,2]                8.800000e-01  9.700000e-01  1.000000e+00   558 1.00
T_adjust[1,3]                8.900000e-01  9.700000e-01  1.000000e+00   558 1.00
T_adjust[1,4]                9.000000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,5]                9.000000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,6]                8.900000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,7]                9.000000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,8]                9.000000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,9]                9.000000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,10]               9.100000e-01  9.700000e-01  1.000000e+00   560 1.00
T_adjust[1,11]               9.100000e-01  9.800000e-01  1.000000e+00   560 1.00
T_adjust[1,12]               9.000000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,13]               9.200000e-01  9.800000e-01  1.000000e+00   560 1.00
T_adjust[1,14]               9.000000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,15]               8.900000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,16]               8.900000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,17]               9.000000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,18]               8.900000e-01  9.700000e-01  1.000000e+00   558 1.00
T_adjust[1,19]               8.900000e-01  9.700000e-01  1.000000e+00   558 1.00
T_adjust[1,20]               9.000000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,21]               9.000000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,22]               9.100000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,23]               8.900000e-01  9.700000e-01  1.000000e+00   558 1.00
T_adjust[1,24]               9.000000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[1,25]               8.900000e-01  9.700000e-01  1.000000e+00   559 1.00
T_adjust[2,1]                2.000000e-02  1.100000e-01  5.000000e-01   468 1.00
T_adjust[2,2]                6.000000e-02  2.000000e-01  6.600000e-01   446 1.00
T_adjust[2,3]                5.000000e-02  1.800000e-01  6.300000e-01   451 1.00
T_adjust[2,4]                4.000000e-02  1.500000e-01  5.900000e-01   456 1.00
[ reached getOption("max.print") -- omitted 314918 rows ]

Samples were drawn using NUTS(diag_e) at Thu Oct 13 03:42:43 2022.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
                                                                  convergence, Rhat=1).
